t= 7.836749E-15	r= 1.326374E-07	r'= 2.775416E+07	r''= -1.382065E+22	th= 3.010348E+00	th'= 6.579079E+13
t= 7.843499E-15	r= 1.330108E-07	r'= 2.756810E+07	r''= -1.374476E+22	th= 3.011234E+00	th'= 6.542190E+13
t= 7.850249E-15	r= 1.333817E-07	r'= 2.738305E+07	r''= -1.367000E+22	th= 3.012114E+00	th'= 6.505854E+13
t= 7.856999E-15	r= 1.337502E-07	r'= 2.719900E+07	r''= -1.359634E+22	th= 3.012990E+00	th'= 6.470062E+13
t= 7.863749E-15	r= 1.341161E-07	r'= 2.701594E+07	r''= -1.352376E+22	th= 3.013861E+00	th'= 6.434801E+13
t= 7.870499E-15	r= 1.344796E-07	r'= 2.683386E+07	r''= -1.345224E+22	th= 3.014728E+00	th'= 6.400063E+13
t= 7.877249E-15	r= 1.348406E-07	r'= 2.665273E+07	r''= -1.338177E+22	th= 3.015589E+00	th'= 6.365837E+13
t= 7.883999E-15	r= 1.351992E-07	r'= 2.647254E+07	r''= -1.331232E+22	th= 3.016447E+00	th'= 6.332113E+13
t= 7.890749E-15	r= 1.355554E-07	r'= 2.629329E+07	r''= -1.324387E+22	th= 3.017299E+00	th'= 6.298881E+13
t= 7.897499E-15	r= 1.359091E-07	r'= 2.611496E+07	r''= -1.317641E+22	th= 3.018147E+00	th'= 6.266134E+13
t= 7.904249E-15	r= 1.362605E-07	r'= 2.593752E+07	r''= -1.310992E+22	th= 3.018991E+00	th'= 6.233860E+13
t= 7.910999E-15	r= 1.366095E-07	r'= 2.576098E+07	r''= -1.304437E+22	th= 3.019830E+00	th'= 6.202053E+13
t= 7.917749E-15	r= 1.369561E-07	r'= 2.558532E+07	r''= -1.297976E+22	th= 3.020666E+00	th'= 6.170702E+13
t= 7.924499E-15	r= 1.373003E-07	r'= 2.541053E+07	r''= -1.291606E+22	th= 3.021497E+00	th'= 6.139800E+13
t= 7.931249E-15	r= 1.376421E-07	r'= 2.523658E+07	r''= -1.285325E+22	th= 3.022323E+00	th'= 6.109339E+13
t= 7.937999E-15	r= 1.379817E-07	r'= 2.506348E+07	r''= -1.279134E+22	th= 3.023146E+00	th'= 6.079310E+13
t= 7.944749E-15	r= 1.383189E-07	r'= 2.489121E+07	r''= -1.273028E+22	th= 3.023965E+00	th'= 6.049705E+13
t= 7.951499E-15	r= 1.386537E-07	r'= 2.471976E+07	r''= -1.267008E+22	th= 3.024780E+00	th'= 6.020519E+13
